timestamp_begin_pt,timestamp_end_pt,NP15,SP15,ZP26,System Total
2021-01-01 00:00:00,2021-01-01 01:00:00,-3.88458,-26.26146,-5.69359,-35.83963
2021-01-01 01:00:00,2021-01-01 02:00:00,-3.91677,-26.16373,-5.79587,-35.87637
2021-01-01 02:00:00,2021-01-01 03:00:00,-3.94931,-26.17962,-5.7101,-35.83903
2021-01-01 03:00:00,2021-01-01 04:00:00,-3.95021,-27.53725,-5.7435,-37.23096
2021-01-01 04:00:00,2021-01-01 05:00:00,-3.96713,-28.15593,-5.76637,-37.88943
2021-01-01 05:00:00,2021-01-01 06:00:00,-3.90773,-29.89209,-5.76386,-39.56368
2021-01-01 06:00:00,2021-01-01 07:00:00,-4.0591,0.45254,-5.81536,-9.42192
2021-01-01 07:00:00,2021-01-01 08:00:00,60.64451,1113.79644,94.92986,1269.37081
2021-01-01 08:00:00,2021-01-01 09:00:00,576.37756,4167.28547,706.341,5450.00403
2021-01-01 09:00:00,2021-01-01 10:00:00,904.79859,5452.38688,1189.43264,7546.61811
2021-01-01 10:00:00,2021-01-01 11:00:00,1030.40696,5821.65519,1308.07089,8160.13304
2021-01-01 11:00:00,2021-01-01 12:00:00,933.35242,5875.4992,1310.8555,8119.70712
2021-01-01 12:00:00,2021-01-01 13:00:00,830.69416,5656.61377,1307.46963,7794.77756
2021-01-01 13:00:00,2021-01-01 14:00:00,819.15587,5651.54268,1274.16458,7744.86313
2021-01-01 14:00:00,2021-01-01 15:00:00,727.65731,5189.00215,1063.43598,6980.09544
2021-01-01 15:00:00,2021-01-01 16:00:00,410.03627,3344.76305,586.78887,4341.58819
2021-01-01 16:00:00,2021-01-01 17:00:00,63.51368,443.42115,108.56225,615.49708
2021-01-01 17:00:00,2021-01-01 18:00:00,-3.84844,-26.84193,24.13368,-6.55669
2021-01-01 18:00:00,2021-01-01 19:00:00,-3.81867,-26.6181,24.6112,-5.82557
2021-01-01 19:00:00,2021-01-01 20:00:00,-3.81434,-25.96408,24.62513,-5.15329
2021-01-01 20:00:00,2021-01-01 21:00:00,-3.81093,-26.00046,-4.21568,-34.02707
2021-01-01 21:00:00,2021-01-01 22:00:00,-3.84791,-25.8828,-5.58689,-35.3176
2021-01-01 22:00:00,2021-01-01 23:00:00,-3.86133,-26.2289,-5.64709,-35.73732
2021-01-01 23:00:00,2021-01-02 00:00:00,-3.88318,-25.84872,-5.66248,-35.39438
2021-01-02 00:00:00,2021-01-02 01:00:00,-3.89148,-25.88826,-5.73819,-35.51793
2021-01-02 01:00:00,2021-01-02 02:00:00,-3.91644,-26.01922,-5.7557,-35.69136
2021-01-02 02:00:00,2021-01-02 03:00:00,-3.9379,-26.39426,-6.59225,-36.92441
2021-01-02 03:00:00,2021-01-02 04:00:00,-3.96451,-28.40973,-5.75473,-38.12897
2021-01-02 04:00:00,2021-01-02 05:00:00,-3.91679,-28.97411,-5.72776,-38.61866
2021-01-02 05:00:00,2021-01-02 06:00:00,-3.91114,-29.39097,-5.73831,-39.04042
2021-01-02 06:00:00,2021-01-02 07:00:00,-4.04067,-20.2276,-5.81784,-30.08611
2021-01-02 07:00:00,2021-01-02 08:00:00,59.71524,826.02491,86.44269,972.18284
2021-01-02 08:00:00,2021-01-02 09:00:00,348.30122,3066.13134,584.81578,3999.24834
2021-01-02 09:00:00,2021-01-02 10:00:00,461.61006,4765.85478,1046.75931,6274.22415
